keys,en,fr
DECKBUILDER_REMOVE_FAILED_SELECTED,"No deck selected, unable to remove this card. Please select one from the list below.","Aucun deck sélectionné, impossible de supprimer la carte. Veuillez sélectionner un deck dans la liste ci-dessous."
DECKBUILDER_REMOVE_FAILED_EX,"An error occured, unable to remove this card because {0}.","Une erreur est survenue, impossible de retirer la carte car {0}."
DECKBUILDER_QUIT_FAILED_PARENT,Failed to close the deck builder.,Impossible de fermer le constructeur de deck.
GENERAL_ERROR_OCCURED,"An error occured, {0}.","Une erreur est survenue, {0}."
SEARCH_ALL,All,Tout
SEARCH_RESULTS,Results: {0},Résultats: {0}
SEARCH_COLOR,Color,Couleur
SEARCH_SET,Set,Set
SEARCH_TYPE,Type,Type
SEARCH_CARDTYPE,Card Type,Type de carte
AUTOLOAD_CARDS_LOAD_TITLE,Getting cards,Récupération des cartes
AUTOLOAD_CARDS_LOAD_MESSAGE,Please wait while cards are being fetched from the server...,Veuillez patienter pendant que les cartes sont téléchargées du serveur...
AUTOLOAD_CARDS_LOAD_FAILED,Fail to fetch cards from the API. Please close the application and try again.,Échec de la récupération des cartes à partir de l'API. Veuillez fermer l'application et réessayer.
AUTOLOAD_CARDS_LOAD_FAILED_DESERIALIZE,Fail to deserialize cards from the API. Please close the application and try again.,Échec de la désérialisation des cartes à partir de l'API. Veuillez fermer l'application et réessayer.
DECKMANAGER_ERROR_EXIST,A deck already exists for name {0}.,Un deck existe déjà pour le nom {0}.
DECKMANAGER_ERROR_FILENAME,Name is invalid because it contains unsupported characters for a filename ({0}).,Le nom n'est pas valide car il contient des caractères non pris en charge pour un nom de fichier ({0}).
FILE_EXPLORER_OPEN,Open,Ouvrir
FILE_EXPLORER_CANCEL,Cancel,Annuler
CARDCREATOR_CARDSTYLE,Card Style,Style de la carte
CARDCREATOR_ITEMCOLOR,Elements color,Couleur des éléments
CARDCREATOR_ITEMCOLORSECONDARY,Secondary elements color,Couleur des éléments secondaires
CARDCREATOR_COLOR_RED,Red,Rouge
CARDCREATOR_COLOR_BLUE,Blue,Bleu
CARDCREATOR_COLOR_GREEN,Green,Vert
CARDCREATOR_COLOR_PURPLE,Purple,Violet
CARDCREATOR_COLOR_BLACK,Black,Noir
CARDCREATOR_COLOR_YELLOW,Yellow,Jaune
CARDCREATOR_COLOR_OTHER,Other,Autre
CARDCREATOR_TYPE_CHARACTER,Character,Personnage
CARDCREATOR_TYPE_LEADER,Leader,Leader
CARDCREATOR_TYPE_EVENT,Event,Événement
CARDCREATOR_TYPE_STAGE,Stage,Terrain
CARDCREATOR_TYPE_DON,Don!! Card,Carte Don!!
CARDCREATOR_TYPE_SUFFIX_FULLART,Fullart,Fullart
CARDCREATOR_TYPE_SUFFIX_EMPTY,Empty,Vide
CARDCREATOR_OPENFOLDER,Open Folder,Ouvrir le dossier
CARDCREATOR_ERROR_FILL_CARDNAME,"Card name is empty, please fill in to export your card.","Le nom de la carte est vide, veuillez le remplir pour exporter votre carte."
CARDCREATOR_FILE_EXPORTED,File exported at {0}.,Fichier exporté à {0}.
CARDCREATOR_CARDEFFECTS,Card Effects,Effets de la carte
CARDCREATOR_ADD_EFFECT,Add effect,Ajouter l'effet
CARDCREATOR_BG_EFFECT_TOGGLE,Show background effects color,Afficher la couleur de fond pour les effets
CARDCREATOR_EFFECT_EDIT_TEXT,Effect...,Effet...
CARDCREATOR_EFFECT_EDIT_DON,Number of DON!!,Nombre de DON!!
CARDCREATOR_EFFECT_EDIT_DAMAGE,Damage,Dommage
CARDCREATOR_EFFECT_ONCEPERTURN,Once Per Turn,Once Per Turn
CARDCREATOR_EFFECT_COUNTER,Counter,Counter
CARDCREATOR_EFFECT_DON1,DON!! X1,DON!! X2
CARDCREATOR_EFFECT_DON2,DON!! X2,DON!! X3
CARDCREATOR_EFFECT_ONPLAY,On Play,On Play
CARDCREATOR_EFFECT_MAIN,Main,Main
CARDCREATOR_EFFECT_ENDTURN,End of Your Turn,End of Your Turn
CARDCREATOR_EFFECT_YOURTURN,Your Turn,Your Turn
CARDCREATOR_EFFECT_ONKO,On K.O.,On K.O.
CARDCREATOR_EFFECT_WHENATTACKING,When Attacking,When Attacking
CARDCREATOR_EFFECT_ONBLOCK,On Block,On Block
CARDCREATOR_EFFECT_ACTIVATEMAIN,Activate: Main,Activate: Main
CARDCREATOR_EFFECT_OPPONENTTURN,Opponent's Turn,Opponent's Turn
CARDCREATOR_EFFECT_BLOCKER,Blocker,Blocker
CARDCREATOR_EFFECT_RUSH,Rush,Rush
CARDCREATOR_EFFECT_BANISH,Banish,Banish
CARDCREATOR_EFFECT_DOUBLEATTACK,Double Attack,Double Attack
CARDCREATOR_EFFECT_TRIGGER,Trigger,Trigger
CARDCREATOR_EFFECT_SIMPLE,Simple,Simple
CARDCREATOR_EFFECT_EMPTY,Empty line,Ligne vide
MENU_BUTTON_PLAY,Play,Jouer
GAME_SLOT_PLACEHOLDER_LEADER,LEADER CARD,CARTE LEADER
GAME_SLOT_PLACEHOLDER_CHARACTER,CHARACTER CARD,CARTE PERSONNAGE
GAME_SLOT_PLACEHOLDER_STAGE,STAGE CARD,CARTE TERRAIN
GAME_SLOT_PLACEHOLDER_DECK,DECK,DECK
GAME_SLOT_PLACEHOLDER_TRASH,TRASH,POUBELLE
GAME_SLOT_PLACEHOLDER_COST,COST CARD,CARTE COÛT
GAME_SLOT_PLACEHOLDER_DONDECK,DON DECK,DECK DON
GAME_SLOT_PLACEHOLDER_LIFE,LIFE CARD,CARTE VIE
GAME_SLOT_TOOLTIP_LEADER,Your leader card is a card with your life points and defines the color of your deck.,"Votre carte leader, c'est une carte avec vos points de vie et qui défini la couleur de votre deck. Vous devez la protéger."
GAME_SLOT_TOOLTIP_CHARACTER,"Your character card allows you to attack, block or activate other special effects.","Votre carte personnage permet d'attaquer, bloqué ou activer d'autres effets spéciaux."
GAME_SLOT_TOOLTIP_STAGE,Your stage card allows you to add a special effect to your cards.,Votre carte terrain permet d'ajouter un effet particulier à vos cartes.
GAME_SLOT_TOOLTIP_DECK,"Your deck, contains all your unplayed cards.","Votre deck, contient toutes vos cartes pas encore jouées."
GAME_SLOT_TOOLTIP_TRASH,"Your trash can, destroyed or sacrificed cards are sent to the trash.","Votre poubelle, les cartes détruires ou sacrifiées sont envoyées à la poubelle."
GAME_SLOT_TOOLTIP_COST,Your cost area is the DON cards you have at your disposal.,Votre zone de coût sont les cartes DON que vous avez à votre disposition.
GAME_SLOT_TOOLTIP_DONDECK,Your DON deck is the set of your not yet obtained DON cards.,Votre DON deck est l'ensemble de vos cartes DON pas encore obtenues.
GAME_SLOT_TOOLTIP_LIFE,"Your life card area displays your remaining life count. Each direct hit will take a card from this area and potentially apply a trigger effect. If you have no cards left, you will die.","Votre zone de carte vie affiche votre nombre de vie restante. Chaque dégat direct vous prendrez une carte dans cette zone et appliquer potentiellement un effet trigger. Si vous n'avez plus de carte, vous mourrez."
GAME_BUTTON_QUIT,Abandon,Abandonner
GAME_DON_COUNTER,"DON!! Deck: {0}
Available DON!! Cards: {1}
Rested DON!! Cards: {2}","Deck DON!!: {0}
Cartes DON!! disponible(s) : {1}
Cartes DON!! utilisée(s) : {2}"
GAME_LIFE_COUNTER,Life: {0},Vie : {0}
GAME_BUTTON_TOGGLEINFO,Hide/Show Information,Cacher/Afficher les informations
